,user_id,location,username,description
458,"[""1401660389662859271',""]","On the sofa. In Wales.',","StevenBolander1',","Perfect level weird according to @bitchystichy',"
459,"[""807345129103249408',""]",,"C4cC6T8B22cIKlF',","',"
460,"[""26278362',""]",,"drocto',","public_metrics': {'followers_count': 111,"
461,"[""1573634867316883456',""]","16',","DeanoButTweets',","🖤🤍',"
462,"[""838643569690836992',""]",,"eliomid1365',","',"
463,"[""1015426782',""]","Ayr, Scotland',","dajwilson',",location':
464,"[""1278930481606770688',""]","Kaduna, Nigeria',","_zinaria',",Up north🧕…. DVM 🩺⏳…Philanthropist 🪔…IG@__.Zinaria business page:@_beddings_n_stuff'}
465,"[""2381537869',""]",,"WWWYZZER',",420 wis 69 cha'}
466,"[""440432097',""]",,"LeaninOnThatXO_',",GOD.'}
467,"[""1340983523772133382',""]",,"suetom16',",I STAND WITH TIGRAY'}
468,"[""1035068305126486016',""]",,"khertzgenerati1',",'}
469,"[""1165719800980615173',""]","Kampala, Uganda',","thelinkdenis',",What amount of Crazy is too much for you? 😂'}
470,"[""1050656095037874179',""]",,"SageZaheer',",No bio just vibes // #SavePalestine // business page - @sagetrips'}
471,"[""1109431058163032065',""]",,"spt_liz',",Duke DPT Class of 2021'}
472,"[""1387514747738857472',""]","tehran_iran',","dayan_gh1998',",\u200fآدمی باش دوست داشتنش آسونه؛شکستنش سخته و فراموش کردنش غیر ممکن♥️♥️♥️'}
473,"[""1163523013159063557',""]","Around the corner',","lonerGK',",its all lies'}
474,"[""15150549',""]","United States',","jeremiahw',",product & tech nerd. views my own.'}
475,"[""895792087010091008',""]",,"DealRael',",Anti Medical Apartheid and Experimental Medical  Mandates \n\nRetweets Not necessarily an Endorsement. \n\n\nNo DMs'}
476,"[""1545074598768689152',""]",,"Mizer51966200',",Tigraweyti'}
477,"[""1577972253991481344',""]","💙🤍💛',","theftm_UwU',",خواهی نشوی همرنگ ، رسوای جماعت شو ! 📚🌱\n#StopHazaraGenocide'}
478,"[""1493730311741448195',""]",,"NatsnetTigrey',",#TigrayGenocide'}
479,"[""1189837278505578496',""]",Kampala uganda,"kingsula11',",IT specialist|| Arsenal 🥰|| Basketball || content creator || Brand influencer Tusker Lite 💚'}
480,"[""1596962089955954691',""]","Isle of Man',","ZoeyNkxsaf',",I don’t get lucky. I make my own luck.'}
481,"[""945071712135237633',""]",,"kattavinir',",'}
482,"[""1029940670855827456',""]","Connecticut, USA',","MyNameIsRobot2',",Happi Littl Boi'}
483,"[""1113693029347540992',""]","Latvia',","Kristne94214334',",'}
484,"[""1530174841978077185',""]",,"ShreFeven',",📢ድምፂ ውፅዕ ህዝበይ😢\n\nኣደይ ዓለመይ 🌎❤️\nትግራይ ሃገረይ🏖💛'}
485,"[""2260675556',""]","Philadelphia',","TraveloreReport',",The Travelore Report has been published monthly since 1971. Our editorial team focuses on upscale travel values worldwide. The link is safe.'}
486,"[""2769337557',""]","USA',","mira_dew',",A HUMAN BEFORE ANYTHING ELSE ❤❤\n   IGBO BY TRIBE 🇺🇸 🇳🇬 ONYE DOT \n\n\n               \n     ➕BELIEVER OF THE GOSPEL OF CHRIST'}
487,"[""1501596693061685252',""]",,"inescalad',",'}
488,"[""1574891794738946048',""]",,"WsNb16135700',",'}
489,"[""1586716368245751811',""]",,"SultanA34668423',",'}
490,"[""828025466887905280',""]",Tongva,"mraiposa',",gimme a sec..just talking to myself.'}
491,"[""717877136',""]",Eastern 🇳🇬,"chukwunaeduya',",
492,"[""175496023',""]",,"meoreubag',",'}
493,"[""803322878590586881',""]","#508 & 🇧🇷ian',","ipreferazan',",BENZ ㅅ⃝Mafia what else (🗽7-4)'}
494,"[""1584853641164640257',""]",,"mahighermez10',",'}
495,"[""887252817198624768',""]","İstanbul, Türkiye',","EylemAtalay',","“Everything in moderation, including moderation”'}"
496,"[""2196775588',""]","Gahanna, Oh',","coaster_fan',",A Godless Brother of Excess .. and epic fun'}
497,"[""284435146',""]",,"vikerv',",'}
498,"[""1501279581311021057',""]",,"Tembieneyti14',",'}
499,"[""843530537042087936',""]",Nigeria,"emmanuel_okika',",
500,"[""1596961992211927043',""]","India',","Daphnqthuo',",And the graves of my loved ones.'}
501,"[""2560732672',""]","Rochester, NY',","Sheriff_Baxter',","Husband, Dad, Master Sergeant US Army, Captain RPD, Chief of Police Greece, Exec Director Veterans Outreach, Sheriff. Family page.'}"
502,"[""2339965219',""]","where da 💰 at',","tycynthiaaa',",realest eva | LiveForeverPapa 💔🕊 | 1 of 1. | unapologetic.'}
503,"[""1540686967263961088',""]","Bihar, India',","_tanveershaik',",Incredible fashion designer for incredible incredible women .💃💃'}
504,"[""2438153034',""]","Pays de Thélème',","SirShumule',",
505,"[""470444114',""]","Yorkshire',","Wintersett1',","Wintersett Res,  Cold Hiendley Res, Anglers CP,  Haw Park Wood'}"
506,"[""277227672',""]",Dancing in an elevator,"forBittenpeach',",life is for the living'}
507,"[""1352345192150552590',""]",,"Esfandiyar731',",'}
508,"[""4417466061',""]","Narnia',","zanaines',",We are wandering through time in a magical vessel of fate\n\nConcordo'}
509,"[""1596961899849158656',""]","British Indian Ocean Terr',","Reminpmize',",I’m willing to bet that you have never met someone as awesome as me!'}
510,"[""1506222138637930506',""]",,"Ali96163251',",'}
511,"[""50728264',""]",,"DaveandBusters',","My favorite things in no particular order: jackpots, nerds ropes, DDR, 40 FT TVs, tendies, the giant winners circle bear, pop the lock, DING DING DING'}"
512,"[""4878405639',""]",,"galina030658',",'}
513,"[""1391148977165381632',""]",,"hond_103',",'}
514,"[""808543592746807296',""]",,"ShrtLoveStories',",'}
515,"[""1570079732548485120',""]",,"DavidAbramsons',",'}
516,"[""4341493755',""]",,"BenzemaEdu',",'}
517,"[""337355234',""]","Ottawa, Ontario',","slavetothehat',","Cartographer. RPG Game designer, creator of Headspace. Alcoholic in recovery, GAD, ADHD. Canadian. He/Him'}"
518,"[""2223241693',""]","Украина',","OdesaTatiana',","Звичайна українка,яку хвилює майбутнє нашої країни.Слава Україні! Героям України!\nМова для українця–це персональна ділянка кордону самоідентифікації укр. нації.'}"
519,"[""1337543383800229892',""]","Budapest, Hongrie',","DobszaiEszter',",#IStandWithAmberHeard #justiceforamber #WeCanBeHeard'}
520,"[""1080202560022171651',""]","Desterro, SC',","lvcsan',",fancy clown'}
521,"[""597705626',""]","South Dublin, Ireland',","joancooke5',","Granny. Recently retired. Reader, art lover, rugby devotee, love news, politics, food, friendship, humour. Kindness trumps everything.  She/her Weathered!'}"
522,"[""1404618516117045252',""]","she/her 90liner',","L0Kai7',","🇵🇷🇩🇴pers acct/INFP/Be kind/love yourself/if ur private i dnt fb/🚫solo,antis,delulu shippers,FS/Dms open/here 2 make friends😊/🐨🐹🐱🐿🐥🐻🐰'}"
523,"[""1212792990172794880',""]",,"Layla_2468',",💪🍃💚🍃 🇺🇦🐟💙Layla@LaylaWest@home.social'}
524,"[""1576998617402920960',""]",,"rangle_umesh',",'}
525,"[""910609604517810176',""]",,"saman19405325',",'}
526,"[""1716610758',""]","Bengaluru, India',","chandrusiddappa',",'}
527,"[""91939847',""]",,"olirae218',",
528,"[""173123888',""]","Clinton, IL',","wahldawg',",
529,"[""20710575',""]",,"mbluetyphoon',",Air Force brat. Love all animals. Jazz. Salsa.\nMastodon: @mbluetyphoon@sfba.social'}
530,"[""947956197310603264',""]","Isla Vista, CA',","Jacklllucas',",'}
531,"[""67687099',""]",Moneyland - Oliver Bullough,"mikdona',",🇵🇸   the oppressed of the world\n\nBlocked by @StandWithUs \nSabra Shatila\n#UyghurGenocide\n#UnfollowPeterHitchens\n#FreePalestine\n@freetibetorg\n#WhereIsPengShuai'}
532,"[""1579940361467731970',""]",,"hdhrh_hfight',",'}
533,"[""1457709461561352195',""]",,"khaharshohar00',",من منسوب به افغانستان، متولد ایران هستم. هر دو کشور از به رسمیت شناختن هویت من سر باز زده\u200cاند. پس من یک بی\u200cوطنم.'}
534,"[""1020078110660878337',""]","Spotsylvania Courthouse, VA',","randi_vet',",Please note: a retweet of your Twitter feed does not mean I endorse your political views. It means that I respect your your service and respect for our fallen.'}
535,"[""1345489573657407490',""]",,"mylagarcia17',",Looking for fun and gay'}
536,"[""1484089031625482240',""]","Eldoret, Kenya',","ASBELKEMBOI7',",Reformist//Youth Advocate//Activist//Budget Champion//Family Planning Champion//Peace Ambassador//\n\nFacebook: https://t.co/zZPgECxG2s'}
537,"[""802580860453134336',""]",,"johngiles99kop',",'}
538,"[""1553883068615868416',""]",,"TaliaMariii',",
539,"[""1249613906718253056',""]",,"trashyhanjo',",Justice must prevail.'}
540,"[""1580688194340896768',""]",,"TimothyJE83',","2022 NL CHAMPIONS, Life long Phillies Fan. THAT BALL’S OUTTA HERE!! Cure Huntington’s Disease, #Ringthebell'}"
541,"[""1596961726100115456',""]","Maldives',","NovaGuazly',","I like my coffee how I like myself: Dark, bitter, and too hot for you.'}"
542,"[""250781787',""]","Umhlanga, South Africa',","tessaumhlanga',",Hard working 80 in July Passionate about Sans uniting and working together for the good of all and uthe uplifting of the dispossessed and the youth .'}
543,"[""717111042539712512',""]",,"777CATBIRD',",MCMXCVII'}
544,"[""4013970386',""]","Sacramento, Ca',","JaraWilliams3',",Mother of 3 grown children.  Real Estate Investor.  Democratic Socialist. Named after a Celtic Goddess and raised by a Mason.'}
545,"[""1580298716786958358',""]",,"realgstar1',",'}
546,"[""897149454817603586',""]",Coalville,"SPSalesLetting',","SP Sales and Lettings is a family run, independent estate agents situated in the heart of Coalville.'}"
547,"[""1009932824932122624',""]","Kitsune Empire',","ThatYandereFox',","Just some foxgirl who RTs stuff || NSFW likes, ecchi RTs || 日本語少しOK ||\n\npfp by @aidoruhakase || banner by @onigi11\n\n🔮🌿🌽🐉☃️🐓💀🐙🎪💎'}"
548,"[""1474339206629576707',""]",هرات,"paiman1390',",Tylor'}
549,"[""1592536593822277633',""]","Pasentiz',","t16r5',",'}
550,"[""954411477145980929',""]","Atlanta, GA',","_mimikoko',",Introverted introvert.'}
551,"[""740612361132871681',""]",,"seosamholaoi1',",'}
552,"[""1594733551676788737',""]",,"moshtagh1382',",'}
553,"[""1556579346525179904',""]",Tlgray @Tdf,"Abadit__hayelom',",ትግራዋይነት❤ማለት ክቡር መንነት 👊👊ትግራይ ትስዕር 👊👊❤Tdf'}
554,"[""1502416369706491911',""]",,"LetbrehanGebre1',",Tigray  tiser'}
555,"[""817013658962325504',""]","England, UK',","EJsKnitsGB',",
556,"[""1193607862632800256',""]",,"_AmenGaga_',",'}
557,"[""818885677651791872',""]",,"JackieM76694257',",'}
558,"[""1590242461426802688',""]","Athens, Greece',","karaklioumis',","Just a regular guy, broken beyond repair and nothing else.'}"
559,"[""497466305',""]",,"velcrojim',","',"
560,"[""1586755607595474949',""]",,"JJBirdBrain',","',"
561,"[""3238426689',""]","Borno, Nigeria',","arctijebrown',","An Architect',"
562,"[""108975367',""]","Pennsylvania',","Doembon',","Conservative female happily married to a retired military pilot. I follow back. America First ProLife 2nd TermLimits DO NOT COMPLY',"
563,"[""3339174444',""]","Vancouver, Canada',","DaVinciEnergy',","Our clean Linear Motion Shuttle Foil kinetic energy harvesting approach is very long proven! Less than 1 cent/kWh is possible on extreme scale',"
564,"[""976226772235665408',""]",,"AbebeSeyoum6',","',"
565,"[""4718965428',""]",,"bedforv1',","',"
566,"[""1270325933581492224',""]",,"Gisouboran_e18',","',"
567,"[""1315170773699563522',""]",,"Alcyon_Cerberus',","Be a part of the solution not of the problem\n#CovidIsntOver',"
568,"[""1200942270704427011',""]","Karachi, Pakistan',","syedmujtubaali',","Syed Mujtaba Ali',"
569,"[""183862495',""]","London, Ontario, Canada',","DeniseLapointe',","Progressive Christ Follower. Pawrent of Sparky and Lucky',"
570,"[""1467553255043522563',""]","Nawabshah, Pakistan',","BabuBalochSBA',","پیپلز یوتھ ونگ ظلع شھید بینظیرآباد ورکنگ کمیٹی میمبر🇱🇾♥️',"
571,"[""978990867028455424',""]","Turan',","Th3Kh3d1v3',","🏴\u200d☠️🇹🇷🇺🇸 Engineer/Economist 💎👋🏻 🚀',"
572,"[""396773698',""]","Berlin, Allemagne',","BenoitSPEZIARI',","💉+😷=🗿',"
573,"[""351013017',""]","Toronto, Ontario',","PlugN_Drive',",created_at':
574,"[""108033897',""]","Monroe County, Indiana',","WordsmithWyle',","Appellate attorney, author, mother, photographer, political junkie.\n\nFor tweets re writing (my books & in general) and publishing, please head to @KarenAWyle.',"
575,"[""22999012',""]","Hamilton, Ontario, Canada',","mpleasance',","Geek & Nerd techie. Thoughts & tweets are usually my own.',"
576,"[""2929465251',""]","Hong Kong',","dan__brummitt',","DISRUPTIVE FINE #ART 🤍 https://t.co/6NCLjkgh3u',"
577,"[""1883235474',""]",,"sully4846',","Eternal patriot; Conserv; Retired NYPD; Brooklyn; God and Country. No DMs. DMs = INSTA BLOCK',"
578,"[""1419073723840311302',""]","Ontario, Canada',","444wookie',",created_at':
579,"[""1401850872536211458',""]",,"ShahabPPP',","PPP jyala',"
580,"[""1331032772429946885',""]","Hangzhou | Zhejiang | PRC 🇨🇳',","SilingWu',","愿你想的人也在想你，你爱的人也刚好爱你。',"
581,"[""1309872518421975041',""]",,"Death19844356',","',"
582,"[""229148328',""]",,"Rekstr1',","',"
583,"[""116471927',""]",,"cityslikr',",created_at':
584,"[""885161611106844673',""]",,"Joan1Barb',","🐣Lived in Det. Moved to NY.  Love my family. Love my dog.🐥',"
585,"[""created_at':""]","the backrooms',","nomoemoney134',","idk where i am',"
586,"[""1591971871448334336',""]","Islamabad, Pakistan',","zardarilogy',","Zardarilogy | Pakistan Khappay 🇵🇰 | Bhuttoist 🇱🇾 |',"
587,"[""70289960',""]","Northern burb of Minneapolis',","moshinMN',","📬\n🏁Everything motorsports 🏁Pittsburgh Penguins fan🐧 Beers 🍻Metalhead for life 🤘Gulf war vet😲Master of PR🤙',"
588,"[""553656381',""]",,"jwpak88',","physician specializing in stem cells and regenerative medicine.',"
589,"[""1586195391652933633',""]","Greeley, CO',","Big_Cat_Barron',","24: Pro Life: Pro 2A: Legalize Cannabis: Psychedelics are the future of mental health treatment"","
590,"[""1584853641164640257',""]",,"mahighermez10',","',"
591,"[""1160587963',""]","Canada', 🌎"",","TiBachlor',",created_at':
592,"[""3088724457',""]","Slovakia',","Peter_Baranek',","Stocks & crypto fan.',"
593,"[""893437019472379909',""]","Sydney',","LuigiFontanaMD',","Professor & Ullmann Chair in Translational Metabolic Health, Scientific Director CPC-RPA Clinic & Longevity Program, Sydney University. Tweets: my views',"
594,"[""21941227',""]","Vancouver BC',","CBinVAN',","Dog Butler, Working Stiff, ""LeFtiSt MaNiaC"".',"
595,"[""1077444631',""]",,"sspraguejr',","',"
596,"[""1586084792986210305',""]","Fly Over Country',","majrewbe2000',","',"
597,"[""1547163511859871745',""]",,"OrangeStaunch',","#Bitcoin not shitcoin • Toxic • Maxi • Born free • Unvaccinated 🚜🌽🍆🩸💊🧬🔑',"
598,"[""1592291689825275906',""]",,"AlaRwsk',","نه به مجاهد، عرزشی، ج ا 🤮زنده باد ایران و پرچم شیر و خورشید.#اعتصابات_سراسری #توماج_صالحی صدای او باشیم که همیشه صدای ما بود، حمایتش کنیم.',"
599,"[""894253900492136453',""]","Istanbul, Turkey',","UplandMetanomy',","🍁MAPLEWOOD🪵 🏡#p2egaming 🛒#MetaverseNFT 🪙⛏️ #UPXNFT\nhttps://t.co/QlNPvpkenH \n#Web3Talks \ncqm2u.c.wam\n@WAX_io\n@VoiceHQ\n@voiceNFT\n@genesisnftb1',"
600,"[""1567651993262620673',""]","Santa Clarita, CA',","Charly88089689',","I asked God for everything in life, and he gave me life to have it all.\nSuper MAGA 🇺🇸🇺🇸🇺🇸\nTRUMP WON',"
601,"[""1473264589651468290',""]",,"Kerstmis40',","Tradities, normen en waarden, democratie en vrijheid van meningsuiting in West-Europa moeten beschermd worden tegen links fascisme en islamisering.',"
602,"[""1457709461561352195',""]",,"khaharshohar00',","من منسوب به افغانستان، متولد ایران هستم. هر دو کشور از به رسمیت شناختن هویت من سر باز زده\u200cاند. پس من یک بی\u200cوطنم.',"
603,"[""1573057158404608000',""]",,"Black49508907',","',"
604,"[""2889601750',""]","New England, USA',","LunarStrong',","#MAGA, #2A defends #1A, #TrumpWon #SaveAmerica #Devolution #justice4J6 God Bless The USA #PureBlood Sorry, not following back ""Team ___"" or ""___ Fans"" account',"
605,"[""1042240161617256448',""]","Small town, Alberta',","Brenda6614',","Retired Teacher/Social Worker!Feminist! Noticed that there seems to be a lot of overturned rocks in Alberta these days!What an eyesore! Hope it changes in 2023?',"
606,"[""205368519',""]","New Westminster BC Canada',","ljfawkes',","Foodie-food preservation,gardening, cooking, Artist-when ever it hits me. Standing up for ethics and leadership in governments around the world. Pro Democracy.',"
607,"[""1583748283683463170',""]","Etats-Unis',","sjr_mchugh',","Mother👩🏼\u200d🔬👩🏼\u200d💻👩🏼\u200d🏫🐕🐈\u200d⬛Grandmother👶🏻 ~ Mountain dweller⛰🐻🌿 🦌 ~ Nature lover 📸 God will sort things out… Still going to 🗣, because this is 🇺🇸.',"
608,"[""1224863882868678656',""]","USA',","DrainingClocks',","Trump 2024',"
609,"[""2384972428',""]",,"sherylozzy',","',"
610,"[""1594977035415339008',""]",,"twatterthefirst',","Twatterazi.',"
611,"[""1133881834322968576',""]","Nord, Nord-Pas-de-Calais',","HZardoz',","Son of Humanzee, Zardoz. Banned by Danna Nessel. #BehindEnemyLines, #OZFest podcasts, Chief Chaos Creator at https://t.co/Fnl3MoZYKF #HeyZee = my Bat Signal',"
612,"[""1444471538053492739',""]",,"SilkVaughn',",created_at':
613,"[""1504548753805651980',""]","Agartha, Inner Earth',","glitchy_b',","Chuddish disposition. Filled with terrible purpose. Overconfident, yet completely inept pulp cold-war artist. \nGang SS Oak Leaf',"
614,"[""1474339206629576707',""]",هرات,"paiman1390',","Tylor',"
615,"[""1590140964420849666',""]","Portland, OR',","CudaPatriot',","God, family, country, freedom, step on any of them I step on you.',"
616,"[""1456380251139891210',""]",,"ivancico123',","',"
617,"[""1282033603891941377',""]","Ontario, Canada',","thetruthsucks12',","',"
618,"[""69634730',""]","Winnipeg',","MisericordiaMB',","MHC: Proud to have flagship programs unique in Manitoba: Eye Care Centre of Excellence, Provincial Health Contact Centre & Sleep Disorder Centre.',"
619,"[""1483760603978207235',""]",,"LisaBar88024665',","Healthcare advocate, President PDC  CUPE 9144, Vice President CUPE 1943, VP WeRPN,Mem @ Lrg & Rec Secretary OHS CUPE, she/her, tweets are my views',"
620,"[""877429184313778180',""]","Heaven&JAPAN',","neoAnon2025god',","team￡NEO.αnonymous†cross￡/自由矜持会(中道団体)会長/#αnonymous/WeAreTheWorld/#靖國神社崇敬奉賛会 正会員/元都庁臨時職員/NHK党の中曽氏(義姉・本人公認)と中村氏を支持。小野沢市議を支持/総合研究家/ミリタリー/#DJ/UFO/地震/戦争/噴火/洪水/台風/政治等',"
621,"[""1574073798462169090',""]",,"SaraHassanzadah',","بیرقی که در انتخابش نقشی نداشتی و زیر همان بیرق نسل کشی شدی ملی نیست بفهم',"
622,"[""857939407277506561',""]",,"fFTUa5RPuCZs6bR',","',"
623,"[""1351873712031719426',""]",,"Alexkennedy30',","A true patriot for an integrated and democratic Iran \nCoFounder of the Us Foreign Policy \nMonarchist and lover of a free Iran \nBarandaz activist and fighter',"
624,"[""246993396',""]",,"Alexblx',","Democracy, Secularism, Free Markets; mean freedom peace and prosperity.',"
625,"[""1042212342208110592',""]",,"DixieDoodle8',","Christian nature lover with a big heart and sarcastic mouth 🎣',"
626,"[""867733000271908864',""]","europe',","GHOL246abbas2',","دندانپزشک ، فوتبالیست \nپذیرای هر گونه نظر ،عقیده ، مرام و مسلک \nطرفدار آزادی بیان  \nضد دیکتاتوری از هر نوع',"
627,"[""1247553100598173697',""]","Georgia',","LarryCa01914918',","Visual Artist living with Parkinson’s, Born again Christian,Optimist, Patriot, Veteran, Husband, Dad, Papa, Conservative.',"
628,"[""1096817984',""]","Alberta, Canada',","Leahathome13',","Canadian First, living in AB 🇨🇦 4xVax, Already free, Retired Teacher/Admin, Photographer. BEd. MA.\n❤️ POPAB ❤️SOS @LeahCM@mstdn.ca',"
629,"[""1584492977694691333',""]","Sindh, Pakistan',","SyedGhazan25',","Jiyala By Birth 🇱🇾 On The Vision Of SZAB & SMBB | My Chairman My Pride Bilawal Bhutto Zardari | VP PYO PS-126 District Central | Social Media Activist PPP.',"
630,"[""2305332182',""]","Cambridge, MN',","mnaussie2',","Retired and trapped in Minnesota.  I only publish my own photos, shot with the eye and processed with the heart of a former farm boy.',"
631,"[""1043900406483619846',""]","Who Knows?!',","agnos_pharmos',","| Iranian patriot- humanist- agnostic- freedom fighter✌🏻| 👀question everything❗NO MEK🚫 #IranRevolution #براندازم',"
632,"[""1581368778939572227',""]",,"Revenantialtax1',","',"
633,"[""1697830980',""]",,"nfatyogurt',","',"
634,"[""1585938507205419008',""]",,"chicagopatty1',","what have I missed over the last few years ??    🍊',"
635,"[""1580638498868322305',""]","USA',","zonanlbk',","Bacon geek. Gamer. Amateur alcohol fanatic. Twitter evangelist. Communicator. Pop culture buff. Internetaholic. Travel maven. Organizer.',"
636,"[""2460047262',""]","No DM.Please🚫🇻🇪',","LuisaM56_',","SIEMPRE SOY.  💖INSTAGRAM.Luisamartinez461💖',"
637,"[""1546856513830109184',""]",,"Syedafaizanoor',","Pharmaceutical',"
638,"[""1113159183946452993',""]",,"MillerOval',","BIGGEST BOSS',"
639,"[""1396409561326702602',""]",,"StevenBax',","Whatever happens happens.\n\nNot worthy, but still...\n\nWaiting on the second coming of our lord Jesus Christ🙏✝️',"
640,"[""1511753140906991621',""]",,"Ileana08718444',","满分同城约啪平台，五年信誉口碑最佳平台。会员遍布全国各地，累计女生3w+，全国招募男女会员，女生加入免费（需视频验证）男生会员制入会最低999，介意勿加，男生入会+V：ManFenjy555  备用V：MFJY67 Q：3143795663  查看女生信息招募→\n@MFJY555',"
641,"[""1019287244',""]","Federal Capital Territory',","Femzydaraw',","Artist🎤🎼 A 9BN💛, Non religious, An Ambivert💡💥 click on tha link below 👇 to listen to #Vawulence💥💯',"
642,"[""1385133515998703618',""]",,"soheil47439798',","',"
643,"[""1443478031989977089',""]","Quetta',","DarYabi200200',","#StopHazaraGenocide/\n\nhttps://t.co/th8AY3GzYP\n second account_اکانت دومی',"
644,"[""1108347138138869762',""]",,"Pedrozors11',","Hasta la victoria siempre! 🧡\n\nLove freedom, crypto, vintage, music with a soul & my dog 🐾\n\nI rather die on my feet than live on my knees #NoDistopia ✌️😎',"
645,"[""1516107692313563153',""]",,"DullesOlivia',","【甜蜜制造包养平台 客服微信yangogouei】',"
646,"[""73656500',""]","Greece',","panalexsof',","εἶμι = δοκεῖ μοι + ορθός λόγος + αἱροῦμαι  != ορθό δόγμα',"
647,"[""1595477436560465925',""]",,"elite_terrestre',",created_at':
648,"[""290122927',""]","Toronto',","gabepapaloni',","Accounting Analyst using SAP in Toronto - 15 years work experience in Fortune 500 Companies',"
649,"[""1595168652147494929',""]","Sindh, Pakistan',","Thari_Jiyalappp',","#SocialWorker #Democratic',"
650,"[""1586106780475691010',""]",,"beanzos1111',",twitter’s back and I’m here for the memes'}
651,"[""150507047',""]",,"danceruby',","Born in England. Jewish by conversion because i love the people, the teachings and the food.  I pray for Peace for All people.  I pray all children will be safe'}"
652,"[""1520132018352365570',""]",,"rommmanii',",'}
653,"[""2206614358',""]",,"winna_by_nature',",GENESIS THE PUNTERS PUNTER 🏒🏈⚽🏟🏉🏀🏐🥎⚾🎾⚽🎱🏓🎳🏸🏒🏑🥍🏏🏏 Chopping Bookies money is my favorite thing to do. I also edit some of my fav punters games 😎'}
654,"[""1484708410574589954',""]","Las Vegas, NV'}","Troicaolenh07',","https://t.co/1544J0kH34 self publish founder donated all investment and winning prizes to truely help world by legal aba federal Americans, org,gov,world.',"
655,"[""1587725569663406081',""]",,"RobinAmpudia7',",the same items frm here'}
656,"[""320196121',""]",,"PokeFanTrevor',","Autistic, Singer, Nerd, Gamer, retro game lover! engaged to my mogwife - @MogwifeJ 💚'}"
657,"[""1393309037815496707',""]",,"FScallone',",Never forget David Dorn. \nKyle Rittenhouse is a hero.'}
658,"[""36128870',""]","Portsmouth, England'}","Claire_Arch',","Happy. Owner of JUICED Social. Facebook Ads specialist. #blacklivesmatter',"
659,"[""826142894805381120',""]","Pensacola, FL'}","JoyBell75174267',","Loves Trump, wants America like it was when we won WWII and looked forward to a positive world.    Loves Jesus, history and the American way.',"
660,"[""1374763877838163970',""]",Brunei'},"caonguyenbucat',","B caonguyenbucatrunei',"
661,"[""897173793545883648',""]",Nigeria'},"kakaodocha',","#Simple*but*exceptional                                  @Arsenalfcmyclub',"
662,"[""22560367',""]",Los Angeles'},"williamnelligan',","Itinerant policy entrepreneur. Formerly: @JainFamilyInst, @RobinHoodNYC, @Anthemis, @SenatorHarkin.',"
663,"[""804198758879784960',""]",,"AfirimaIdara',",'}
664,"[""1527024176929841156',""]",,"Myrl60296958',",开云体育https://t.co/CF04aUaWCE 华体会体育  https://t.co/lUhFBeUKSv'}
665,"[""1587830188754305025',""]",,"Heather45421745',",regret from the mistakes'}
666,"[""1522236198013616131',""]","São Paulo, Brasil'}","moapassos',","Jornalista Freelancer e Dev TI Web',"
667,"[""1491759790816743430',""]",,"Suleima53358110',",'}
668,"[""1587392009228222464',""]",,"KatieMi43474525',",last day i found my girlloving'}
669,"[""1585801444271210502',""]",,"One3BravoEcho3M',",
670,"[""1321590312255541248',""]",,"ncbeachbound15',",'}
671,"[""1439775770864410637',""]",,"AB211Savage',",'}
672,"[""181273031',""]",🇳🇬🇧🇪'},"Demba_koyz',","Travel, Cook & Party 🥂',"
673,"[""5990782',""]",National'},"youngdems',","The official account for the Young Democrats of America. Led by @QuentinOcama. Paid for and authorized by the Young Democrats of America.',"
674,"[""1214407152896368640',""]",,"jamiemcintyre21',","Founder Australian National Review,Australia’s most censored Political Commentator Co Founder of https://t.co/nxxpucuBWM a censor free social media platform'}"
675,"[""759306719658905600',""]",,"_UmaymahS',",'}
676,"[""2654733439',""]",,"tamiasweart',",لم يكن ما كان شيءا يعتمد بل امورا وافقت يوم'}
677,"[""550529753',""]",Wherever I please.'},"TheUnknownSkull',","Trying to fix the mess that is my brain. He/Him. LGBT+ Rights are Human Rights. Absolute dumbass bitch. Pfp & banner by @Drawloverlala',"
678,"[""1278053956330180608',""]","Bronx, NY'}","Yachu36',","Just your average Nintendo lover over here, who also is a big fan of animals and Pokemon! Big retweeter/liker with cute pics lol-',"
679,"[""1204304699354169344',""]",,"RightlyTheTruth',",🔞 NSFW'}
680,"[""1364565322158772226',""]",,"tesfay_molla',",'}
681,"[""875111535517028357',""]","§207, Fraser Field, Lynn MA'}","FraserFaithful',","Occupying #NavsMediaRow at Fraser Field are Mad Dogs fans turned Spirit fans turned Navs fans, the remnants of the Fraser Faithful.',"
682,"[""1586225935350566917',""]",Commie CA'},"NewRedTwit',","New to Twitter & Social Media, thx Elon for Standing Up for free speech!!',"
683,"[""1584128472003362816',""]",,"Natalie40383288',",we hope doing well in exam'}
684,"[""1586554752325877761',""]","Southlake, TX'}","jameslatimer98',","Large, furry, guitar playing mammal. 😎🎸',"
685,"[""1514555159355011079',""]",,"GGrights1',",'}
686,"[""1549685438742286343',""]",,"ivanmodrat',",'}
687,"[""1584129678465343488',""]",,"AudreyT11410025',",we hope doing well in exam'}
688,"[""1217401920450711554',""]",Akwa Ibom,"Rexx58572978',","Spa therapist, Computer scientist, Addicted to music 🎵, Medic, Teacher, Lover.',"
689,"[""1248711076092485634',""]",,"BisonEnraged',","Stand for reasonable discourse, freedom of speech, respectful rebuttal. Open mind but i know what i believe. Pronouns are dumb'}"
